"method","dataset","series","time_fit","time_detect","precision","recall","f1"
"vanilla_AE","gecco","tp",16.7393088340759,0.0114202499389648,0.125490196078431,0.0296296296296296,0.0479400749063671
"vanilla_AE","gecco","cl",14.9189281463623,0.0121448040008545,0.208333333333333,0.0231481481481481,0.0416666666666667
"vanilla_AE","gecco","ph",14.9882614612579,0.0121712684631348,0.4,0.0277777777777778,0.0519480519480519
"vanilla_AE","gecco","redox",14.7983694076538,0.012275218963623,1,0.0833333333333333,0.153846153846154
"vanilla_AE","gecco","leit",14.8574452400208,0.0121879577636719,0.0939393939393939,0.0143518518518519,0.0248995983935743
"vanilla_AE","gecco","trueb",14.8559339046478,0.0122926235198975,0.163636363636364,0.025,0.0433734939759036
"vanilla_AE","gecco","cl_2",14.9812479019165,0.0122323036193848,0.116190476190476,0.0564814814814815,0.07601246105919
"vanilla_AE","gecco","fm",14.9114248752594,0.0122718811035156,0,0,NaN
"vanilla_AE","gecco","fm_2",14.8370077610016,0.0122132301330566,0,0,NaN
"denoising_AE","gecco","tp",15.3074426651001,0.0128974914550781,0.297916666666667,0.0662037037037037,0.108333333333333
"denoising_AE","gecco","cl",15.2682256698608,0.0126273632049561,0.6,0.00833333333333333,0.0164383561643836
"denoising_AE","gecco","ph",15.3618602752686,0.0126893520355225,0.993333333333333,0.0689814814814815,0.129004329004329
"denoising_AE","gecco","redox",15.2310144901276,0.0126183032989502,0.991666666666667,0.165277777777778,0.283333333333333
"denoising_AE","gecco","leit",15.2825789451599,0.0128097534179688,0.045,0.0125,0.0195652173913043
"denoising_AE","gecco","trueb",15.3983414173126,0.0128955841064453,0.151515151515151,0.0231481481481481,0.0401606425702811
"denoising_AE","gecco","cl_2",15.4151756763458,0.0133929252624512,0.0895833333333333,0.0199074074074074,0.0325757575757576
"denoising_AE","gecco","fm",15.3764395713806,0.0130443572998047,0.0533333333333333,0.0333333333333333,0.041025641025641
"denoising_AE","gecco","fm_2",15.3451340198517,0.0135385990142822,NaN,0,NaN
"stacked_AE","gecco","tp",44.9839017391205,0.0133028030395508,0.333333333333333,0.0138888888888889,0.0266666666666667
"stacked_AE","gecco","cl",45.0608587265015,0.0130035877227783,0.195238095238095,0.037962962962963,0.0635658914728682
"stacked_AE","gecco","ph",45.0039618015289,0.0129008293151855,0,0,NaN
"stacked_AE","gecco","redox",44.3142907619476,0.0129272937774658,0.990476190476191,0.0962962962962963,0.175527426160338
"stacked_AE","gecco","leit",44.7209482192993,0.01336669921875,0.0333333333333333,0.0143518518518519,0.0200647249190939
"stacked_AE","gecco","trueb",45.2042784690857,0.0130629539489746,0.117777777777778,0.024537037037037,0.0406130268199234
"stacked_AE","gecco","cl_2",47.613970041275,0.013047456741333,0.38,0.0263888888888889,0.0493506493506493
"stacked_AE","gecco","fm",51.9375929832458,0.0129880905151367,0,0,NaN
"stacked_AE","gecco","fm_2",47.8966319561005,0.0130083560943604,0,0,NaN
"convolutional_AE","gecco","tp",32.1858389377594,0.023698091506958,0.4,0.0333333333333333,0.0615384615384615
"convolutional_AE","gecco","cl",32.1094973087311,0.0233035087585449,0.544444444444444,0.0226851851851852,0.0435555555555556
"convolutional_AE","gecco","ph",32.9604859352112,0.0235753059387207,1,0.0416666666666667,0.08
"convolutional_AE","gecco","redox",32.5431945323944,0.0228455066680908,1,0.0555555555555556,0.105263157894737
"convolutional_AE","gecco","leit",32.602963924408,0.0236504077911377,NaN,0,NaN
"convolutional_AE","gecco","trueb",32.4267275333405,0.0247409343719482,0.633333333333333,0.0527777777777778,0.0974358974358974
"convolutional_AE","gecco","cl_2",32.5021104812622,0.0229763984680176,0,0,NaN
"convolutional_AE","gecco","fm",33.0946400165558,0.0231108665466309,0.146666666666667,0.0101851851851852,0.019047619047619
"convolutional_AE","gecco","fm_2",32.717625617981,0.0232365131378174,0,0,NaN
"lstm_AE","gecco","tp",2.65077447891235,0.0283126831054688,0.25,0.0138888888888889,0.0263157894736842
"lstm_AE","gecco","cl",2.60547995567322,0.0272407531738281,0.318518518518519,0.0398148148148148,0.0707818930041152
"lstm_AE","gecco","ph",2.6138710975647,0.0279622077941895,1,0.0416666666666667,0.08
"lstm_AE","gecco","redox",2.57809710502625,0.0273458957672119,1,0.0555555555555556,0.105263157894737
"lstm_AE","gecco","leit",2.59595847129822,0.0277013778686523,NaN,0,NaN
"lstm_AE","gecco","trueb",2.59244155883789,0.0285775661468506,0.76,0.0527777777777778,0.0987012987012987
"lstm_AE","gecco","cl_2",2.59742045402527,0.0286264419555664,0,0,NaN
"lstm_AE","gecco","fm",2.61734557151794,0.0279209613800049,0.456666666666667,0.0634259259259259,0.111382113821138
"lstm_AE","gecco","fm_2",2.71015286445618,0.0289168357849121,0,0,NaN
"adversarial_AE","gecco","tp",37.8924582004547,0.0164821147918701,0.25,0.0138888888888889,0.0263157894736842
"adversarial_AE","gecco","cl",37.8565351963043,0.0159504413604736,0.260606060606061,0.0398148148148148,0.0690763052208835
"adversarial_AE","gecco","ph",38.0063672065735,0.0163965225219727,1,0.0416666666666667,0.08
"adversarial_AE","gecco","redox",37.7922990322113,0.0162806510925293,1,0.0555555555555556,0.105263157894737
"adversarial_AE","gecco","leit",37.5481669902802,0.0163707733154297,NaN,0,NaN
"adversarial_AE","gecco","trueb",37.7267036437988,0.0166642665863037,0.76,0.0527777777777778,0.0987012987012987
"adversarial_AE","gecco","cl_2",37.6946065425873,0.0163462162017822,0,0,NaN
"adversarial_AE","gecco","fm",37.7065806388855,0.0163261890411377,0.0266666666666667,0.0037037037037037,0.00650406504065041
"adversarial_AE","gecco","fm_2",37.65101313591,0.0165343284606934,0.0625,0.0138888888888889,0.0227272727272727
